        Nckt,       Ntube,        Nmod,      tRi(C),      tRo(C),    pRi(kPa),    pRo(kPa),  hRi(kJ/kg),  hRo(kJ/kg),         xRi,         xRo,      tAi(C),      tAo(C),        rhAi,        rhAo,  hci(W/m2K),          EF,  hco(W/m2K),   mu(uPa-s),     k(W/mK),  cp(kJ/kgK),  rho(kg/m3),       ReVap,       ReLiq,     Qmod(W),  MassLiq(g),  MassVap(g),  MassTot(g),  mdot(kg/h),
  3,  8,  2,    21.740,    21.681,  1652.569,  1652.520,   226.237,   226.163,     0.000,     0.000,    21.393,    21.449,     0.713,     0.711,   357.303,     1.000,    66.948,   174.126,     0.086,     1.234,  1207.382,     0.000,  5697.645,     0.283,     6.423,     0.000,     6.423,    13.684,
  3,  8,  3,    21.681,    21.639,  1652.520,  1652.471,   226.163,   226.112,     0.000,     0.000,    21.438,    21.477,     0.711,     0.709,   357.301,     1.000,    66.949,   174.227,     0.086,     1.234,  1207.579,     0.000,  5697.558,     0.197,     6.423,     0.000,     6.423,    13.684,
  3,  8,  4,    21.639,    21.614,  1652.471,  1652.422,   226.112,   226.081,     0.000,     0.000,    21.493,    21.517,     0.709,     0.708,   357.300,     1.000,    66.950,   174.293,     0.086,     1.234,  1207.708,     0.000,  5697.472,     0.119,     6.423,     0.000,     6.423,    13.684,
  3,  8,  5,    21.614,    21.605,  1652.422,  1652.373,   226.081,   226.070,     0.000,     0.000,    21.559,    21.568,     0.706,     0.706,   357.298,     1.000,    66.952,   174.328,     0.086,     1.234,  1207.775,     0.000,  5697.385,     0.044,     6.423,     0.000,     6.423,    13.684,
  3,  8,  6,    21.605,    21.610,  1652.373,  1652.324,   226.070,   226.077,     0.000,     0.000,    21.638,    21.633,     0.703,     0.703,   357.297,     1.000,    66.954,   174.331,     0.086,     1.234,  1207.781,     0.000,  5697.299,    -0.027,     6.423,     0.000,     6.423,    13.684,
  3,  8,  7,    21.610,    21.631,  1652.324,  1652.275,   226.077,   226.103,     0.000,     0.000,    21.733,    21.713,     0.699,     0.700,   357.295,     1.000,    66.956,   174.304,     0.086,     1.234,  1207.729,     0.000,  5697.212,    -0.100,     6.423,     0.000,     6.423,    13.684,
  3,  8,  8,    21.631,    21.668,  1652.275,  1652.226,   226.103,   226.148,     0.000,     0.000,    21.845,    21.811,     0.694,     0.696,   357.293,     1.000,    66.958,   174.246,     0.086,     1.234,  1207.617,     0.000,  5697.125,    -0.174,     6.423,     0.000,     6.423,    13.684,
  3,  8,  9,    21.668,    21.721,  1652.226,  1652.177,   226.148,   226.214,     0.000,     0.000,    21.979,    21.929,     0.689,     0.691,   357.292,     1.000,    66.961,   174.156,     0.086,     1.234,  1207.442,     0.000,  5697.039,    -0.253,     6.423,     0.000,     6.423,    13.684,
  3,  8, 10,    21.721,    21.793,  1652.177,  1652.128,   226.214,   226.302,     0.000,     0.000,    22.137,    22.070,     0.683,     0.685,   357.290,     1.000,    66.964,   174.032,     0.086,     1.235,  1207.199,     0.000,  5696.953,    -0.338,     7.607,     0.000,     7.607,    13.684,
  4,  1,  1,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723,   310.200,     1.000,    66.943,    14.295,     0.013,     0.802,    37.728, 56431.770,     0.000,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1,  2,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723,   310.185,     1.000,    66.943,    14.295,     0.013,     0.802,    37.728, 56433.340,     0.000,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1,  3,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723,   310.171,     1.000,    66.944,    14.295,     0.013,     0.802,    37.728, 56434.770,     0.000,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1,  4,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723,   310.159,     1.000,    66.944,    14.295,     0.013,     0.802,    37.728, 56436.086,     0.000,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1,  5,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723,  3123.303,     6.828,    66.944,    14.295,     0.013,     0.802,    37.728, 55830.621,    62.101,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1,  6,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723,  5590.353,     6.828,    66.944,    14.295,     0.013,     0.802,    37.728, 52827.656,   173.517,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1,  7,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723, 10505.553,     6.828,    66.944,    14.295,     0.013,     0.802,    37.728, 47899.301,   750.050,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1,  8,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723, 10522.484,     6.828,    66.944,    14.295,     0.013,     0.802,    37.728, 42829.773,  1273.864,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1,  9,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723, 10071.307,     6.828,    66.943,    14.295,     0.013,     0.802,    37.728, 37772.309,  1792.303,     0.000,     0.000,     0.262,     0.262,    13.684,
  4,  1, 10,    60.621,    60.621,  1072.134,  1072.134,   441.974,   441.974,     1.000,     1.000,    21.167,    21.167,     0.723,     0.723,  9391.588,     6.828,    66.943,    14.295,     0.013,     0.802,    37.728, 32743.904,  2306.854,     0.000,     0.000,     0.310,     0.310,    13.684,
